frame_number,punch_type
28,jab
64,cross
92,hook
125,hook
155,uppercut
181,uppercut
208,hook
235,hook
269,hook
296,cross
328,jab
361,cross
393,jab
421,cross
454,jab
484,cross
515,uppercut
543,uppercut
575,hook
604,hook
636,hook
670,hook
697,hook
730,uppercut
760,uppercut
793,hook
835,uppercut
884,uppercut
915,uppercut
960,uppercut
994,uppercut
1023,hook
1053,hook
1082,hook
1111,hook
1146,jab
1177,cross
1206,jab
1236,cross
1270,jab
1300,cross
1331,jab
1364,cross
1392,jab
1424,cross
1459,uppercut
1486,uppercut
1516,hook
1546,hook
1575,hook
1605,hook
1641,hook
1670,hook
1703,hook
1734,hook
1759,hook
1789,hook
1815,uppercut
1846,uppercut
1878,uppercut
1906,uppercut
1938,uppercut
1967,uppercut
1998,hook
2025,jab
2059,cross
2091,jab
2126,cross
