frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.577438,0.341121,-0.138695,0.9999,0.602509,0.323522,-0.10372,0.9998,0.545976,0.330807,-0.069251,0.9998,0.637262,0.328657,0.120435,0.9996,0.537261,0.341167,0.285259,0.9998,0.779794,0.393341,0.067637,0.9996,0.50515,0.425877,0.366291,0.9998,0.786833,0.466939,-0.600605,0.9763,0.400478,0.501882,-0.207477,0.9829,0.637671,0.394993,-1.222436,0.9877,0.353786,0.425891,-0.983407,0.9945,0.793052,0.632218,-0.096067,0.9997,0.621692,0.639406,0.09603,0.9996,0.871416,0.80509,-0.236179,0.9735,0.508962,0.806388,-0.037378,0.9789,0.918919,0.933315,0.144372,0.9475,0.557786,0.956119,0.279315,0.9575
2,0.578018,0.341431,-0.166151,0.9999,0.603425,0.323625,-0.13813,0.9998,0.547174,0.330836,-0.09697,0.9998,0.640244,0.328596,0.073263,0.9996,0.538073,0.340777,0.267841,0.9997,0.782547,0.393224,0.029926,0.9996,0.509973,0.426152,0.368174,0.9998,0.786887,0.468534,-0.593631,0.9752,0.414571,0.502996,-0.114105,0.9798,0.639748,0.392785,-1.108332,0.9866,0.359381,0.425873,-0.81503,0.9934,0.794006,0.634708,-0.108194,0.9996,0.621841,0.640415,0.108031,0.9996,0.872918,0.807557,-0.193172,0.9724,0.508948,0.806396,0.011714,0.9771,0.945619,0.943538,0.107022,0.9475,0.561381,0.955412,0.303881,0.9542
3,0.579493,0.341561,-0.230185,0.9999,0.604953,0.323663,-0.202092,0.9998,0.549331,0.330862,-0.165884,0.9998,0.645279,0.328586,0.013474,0.9996,0.539942,0.340646,0.18561,0.9997,0.786927,0.393236,-0.005828,0.9996,0.516454,0.426117,0.308579,0.9998,0.78835,0.469784,-0.546851,0.9747,0.421562,0.502992,-0.111864,0.9761,0.65161,0.393299,-0.982208,0.9854,0.36203,0.424961,-0.76041,0.9921,0.796129,0.634812,-0.112457,0.9996,0.622371,0.640291,0.112135,0.9996,0.872884,0.803445,-0.033528,0.9724,0.510258,0.799872,0.144071,0.9752,0.943072,0.940232,0.258857,0.9495,0.554297,0.942317,0.539348,0.9524
4,0.583507,0.341612,-0.214872,0.9999,0.608876,0.323762,-0.187279,0.9998,0.553985,0.330893,-0.150882,0.9998,0.650679,0.328594,0.024531,0.9996,0.54373,0.340557,0.196609,0.9997,0.789194,0.392894,-0.001108,0.9996,0.522144,0.425371,0.316476,0.9998,0.789687,0.469969,-0.497813,0.9741,0.429087,0.503148,-0.056079,0.9724,0.652468,0.393321,-0.901711,0.984,0.363568,0.425079,-0.706613,0.9908,0.798349,0.631835,-0.120303,0.9996,0.625215,0.637442,0.119946,0.9996,0.873184,0.799814,-0.065118,0.9723,0.510261,0.793866,0.120483,0.9737,0.942717,0.938061,0.228528,0.9514,0.538061,0.938382,0.483545,0.9509
5,0.58622,0.341526,-0.230741,0.9999,0.612776,0.323765,-0.200683,0.9998,0.55797,0.330532,-0.161436,0.9998,0.652971,0.32859,0.016065,0.9996,0.5469,0.339683,0.199613,0.9997,0.790755,0.393829,-0.019298,0.9996,0.521902,0.425308,0.319561,0.9998,0.789896,0.4703,-0.577701,0.9741,0.428725,0.503788,-0.06537,0.9722,0.654635,0.39175,-0.963396,0.9838,0.365777,0.425092,-0.777835,0.9906,0.799116,0.633147,-0.120154,0.9996,0.625735,0.637487,0.119835,0.9996,0.875599,0.800029,-0.083736,0.9733,0.508201,0.794794,0.088712,0.9742,0.941565,0.938907,0.178459,0.954,0.511584,0.940062,0.432954,0.9519
6,0.587533,0.34403,-0.218482,0.9999,0.613762,0.325364,-0.188312,0.9998,0.559035,0.332756,-0.149728,0.9997,0.654944,0.32897,0.02974,0.9996,0.54834,0.340472,0.208655,0.9997,0.7922,0.393806,-0.00889,0.9996,0.524882,0.425491,0.321457,0.9998,0.789943,0.470487,-0.578003,0.9726,0.427155,0.503536,-0.093537,0.9695,0.657733,0.390711,-0.968883,0.9825,0.367594,0.424736,-0.810742,0.9896,0.800164,0.633705,-0.11943,0.9996,0.626772,0.637547,0.119151,0.9995,0.876726,0.800065,-0.084374,0.9724,0.510007,0.795451,0.096424,0.9723,0.941001,0.94526,0.183794,0.9538,0.491558,0.94213,0.414044,0.9488
7,0.587782,0.344684,-0.215449,0.9999,0.613833,0.326064,-0.184063,0.9997,0.559501,0.333614,-0.147089,0.9997,0.65566,0.329481,0.032965,0.9995,0.548662,0.341215,0.213341,0.9997,0.792094,0.394595,-0.001805,0.9996,0.52447,0.425536,0.341216,0.9998,0.789956,0.472375,-0.551459,0.9712,0.426049,0.503594,-0.0897,0.9673,0.661597,0.39282,-1.020139,0.9813,0.367972,0.424625,-0.799298,0.9886,0.800292,0.634736,-0.11914,0.9996,0.626676,0.638038,0.118836,0.9995,0.87868,0.801479,-0.09408,0.9721,0.507999,0.797232,0.082936,0.9715,0.948397,0.947001,0.174873,0.9547,0.484694,0.944749,0.409113,0.9476
8,0.590108,0.345438,-0.21188,0.9999,0.616151,0.327071,-0.183054,0.9997,0.561906,0.334341,-0.145321,0.9997,0.656642,0.331008,0.050034,0.9995,0.550961,0.34186,0.217798,0.9997,0.791876,0.398134,0.025905,0.9996,0.524357,0.426173,0.341701,0.9998,0.789517,0.473276,-0.53779,0.97,0.425514,0.503618,-0.099708,0.9665,0.666143,0.392956,-1.042325,0.9805,0.368386,0.424054,-0.811198,0.988,0.799697,0.638093,-0.105909,0.9996,0.625222,0.638967,0.105655,0.9995,0.879886,0.804845,-0.093658,0.9723,0.510278,0.800459,0.075724,0.9717,0.950015,0.946444,0.186062,0.956,0.483472,0.950463,0.396331,0.948
9,0.590073,0.347938,-0.220163,0.9999,0.616155,0.328771,-0.189571,0.9997,0.561856,0.336508,-0.152012,0.9997,0.657359,0.33226,0.042143,0.9995,0.550665,0.343541,0.214165,0.9997,0.791997,0.398122,0.022571,0.9996,0.522385,0.426129,0.329746,0.9998,0.783868,0.474168,-0.557582,0.9689,0.418891,0.503195,-0.141141,0.9653,0.665978,0.392512,-1.097439,0.9799,0.368564,0.424168,-0.884026,0.9875,0.796476,0.640067,-0.102397,0.9996,0.617668,0.639242,0.102083,0.9995,0.876172,0.805312,-0.037684,0.9717,0.515193,0.803754,0.114723,0.9706,0.947895,0.945038,0.253779,0.9563,0.488235,0.951092,0.448501,0.9458
10,0.588658,0.348655,-0.216786,0.9999,0.614465,0.329581,-0.185807,0.9997,0.561326,0.337395,-0.147826,0.9997,0.657191,0.332953,0.047747,0.9995,0.550113,0.344649,0.222452,0.9996,0.788723,0.400093,0.03133,0.9995,0.521169,0.426636,0.336541,0.9997,0.777302,0.475235,-0.518424,0.9678,0.409825,0.502761,-0.088217,0.9629,0.665897,0.392529,-1.018181,0.979,0.368903,0.422644,-0.763428,0.9866,0.788051,0.640012,-0.102343,0.9996,0.610664,0.640218,0.102019,0.9995,0.873138,0.805973,-0.04614,0.9697,0.52165,0.807429,0.11266,0.9681,0.947234,0.945636,0.241448,0.9544,0.497804,0.95098,0.435145,0.9413
