,Average (Mean),Tolerance (Std)
nose_x,0.48450986030060916,0.13589888494394298
nose_y,0.37010656238623685,0.05633965401929345
nose_z,-0.27464891150937604,0.2014128595893378
nose_v,0.9997339904188148,0.000910342246296966
left_eye_inner_x,0.4896057541407044,0.13561164090320174
left_eye_inner_y,0.3583815137014514,0.05774870528144437
left_eye_inner_z,-0.2659547484372524,0.1882107973686774
left_eye_inner_v,0.9996403148097377,0.001084911638290561
left_eye_x,0.4929338244105419,0.13542271783156756
left_eye_y,0.35785299354803657,0.05791589990949763
left_eye_z,-0.2659915479913223,0.18819892684843087
left_eye_v,0.9995930577297846,0.0012388385185394884
left_eye_outer_x,0.4962237845400288,0.13534812550187897
left_eye_outer_y,0.3572921065403329,0.05808051522291832
left_eye_outer_z,-0.2660655543361739,0.18822437152206287
left_eye_outer_v,0.9996026395970294,0.0012138973523038452
right_eye_inner_x,0.4793731174243975,0.13518627062954888
right_eye_inner_y,0.3580913366449456,0.05745942233718192
right_eye_inner_z,-0.26910033773978165,0.19272071459533457
right_eye_inner_v,0.9996682482381021,0.001034601990388813
right_eye_x,0.4753211971838027,0.13461268347527838
right_eye_y,0.3573560816941843,0.057402326527656505
right_eye_z,-0.2691465904037262,0.19273631149018675
right_eye_v,0.9996223241811798,0.0011903014279250306
right_eye_outer_x,0.4710068634838887,0.13404085571731325
right_eye_outer_y,0.3565752039543323,0.05734278040418878
right_eye_outer_z,-0.26921250527368923,0.19271188160423391
right_eye_outer_v,0.9996284171338042,0.0011718827546767093
left_ear_x,0.49928180289064206,0.13304701713246816
left_ear_y,0.3570174341420493,0.058030799838998615
left_ear_z,-0.1509707798136773,0.15719694826220787
left_ear_v,0.9993251145126358,0.002395998794536803
right_ear_x,0.46363130955386067,0.1308581279171313
right_ear_y,0.3561128908768296,0.057070686423439175
right_ear_z,-0.1644000237575241,0.17522513355317398
right_ear_v,0.9995379537163723,0.001853504640324905
mouth_left_x,0.48987247305171144,0.13326195690066872
mouth_left_y,0.37925821896492234,0.05562536939687776
mouth_left_z,-0.22485415131062095,0.1742126641967526
mouth_left_v,0.9994931294913253,0.002094370076038964
mouth_right_x,0.47695472731345123,0.13270970389166933
mouth_right_y,0.3790918325764998,0.05538370393218468
mouth_right_z,-0.22919516663727513,0.18133779791294433
mouth_right_v,0.9995147834321664,0.0017138318831818094
left_shoulder_x,0.5360290560075233,0.14417644701339893
left_shoulder_y,0.4060810588585633,0.054724361799002565
left_shoulder_z,-0.08208960054329999,0.21698535960979692
left_shoulder_v,0.9996911463057322,0.0008388075767070964
right_shoulder_x,0.42344360758790806,0.14056448969380786
right_shoulder_y,0.4059300295437776,0.05256796803934342
right_shoulder_z,-0.08165632039993309,0.24809931930698262
right_shoulder_v,0.9996225097547135,0.0009127208021747391
left_elbow_x,0.5577317010836615,0.16512809242632862
left_elbow_y,0.4656837675945773,0.05791930676595598
left_elbow_z,-0.186498326134839,0.3092930889364585
left_elbow_v,0.7943135920316807,0.31694596821178594
right_elbow_x,0.4007150288934128,0.15117991670447456
right_elbow_y,0.47165929087467734,0.055423856334495536
right_elbow_z,-0.20763834270410958,0.3337196723297606
right_elbow_v,0.8153716801748341,0.29635378471087026
left_wrist_x,0.528564184051638,0.173522216876336
left_wrist_y,0.45307492720894516,0.06763687084840737
left_wrist_z,-0.363708354626822,0.39179091231217283
left_wrist_v,0.8112056231574013,0.2926437790786643
right_wrist_x,0.44088762856253816,0.153235539382735
right_wrist_y,0.4520057966001332,0.061159073654864546
right_wrist_z,-0.4057894340816816,0.4290475813953128
right_wrist_v,0.8293337325270723,0.26434837509312015
left_pinky_x,0.5223429515402043,0.18273028761304422
left_pinky_y,0.45177256092879803,0.07371269335920737
left_pinky_z,-0.4107047807913718,0.4225310337885732
left_pinky_v,0.7873626640550003,0.28406599949451744
right_pinky_x,0.45166724909757894,0.1593066578081386
right_pinky_y,0.4480057073711988,0.06660362085741128
right_pinky_z,-0.453468842073914,0.4620796032277668
right_pinky_v,0.8059862622758374,0.2601865188877326
left_index_x,0.5193102450838553,0.17991580199950136
left_index_y,0.4451364068119156,0.07395635113978644
left_index_z,-0.40747700148656274,0.40692617895798594
left_index_v,0.7865707904425254,0.2825856383180786
right_index_x,0.4551252238640201,0.15768354103238666
right_index_y,0.44028186593054525,0.06592276858944204
right_index_z,-0.44854103625743114,0.4471746706041416
right_index_v,0.8005331322746051,0.261531881065295
left_thumb_x,0.5189925292619474,0.17516654002312262
left_thumb_y,0.44562749445979155,0.07153132580331927
left_thumb_z,-0.36550635356093886,0.3870941521106633
left_thumb_v,0.7706433542226742,0.27604366024975274
right_thumb_x,0.4537413402407941,0.15450652583067637
right_thumb_y,0.44176942165640576,0.06366708578570007
right_thumb_z,-0.4072725809145331,0.425618724563245
right_thumb_v,0.7801686605568149,0.2592537855480101
left_hip_x,0.512503927644913,0.14813318545690043
left_hip_y,0.5632178545929492,0.05507720834576403
left_hip_z,-0.022252999297624265,0.1413951062798303
left_hip_v,0.9993535637434933,0.001658241150134649
right_hip_x,0.4414290106900397,0.14676522161370237
right_hip_y,0.5624504940464131,0.05528928104836431
right_hip_z,0.022235253648791666,0.1414118528274702
right_hip_v,0.99927095086464,0.0014515262934583027
left_knee_x,0.5278448612248946,0.16022218514521758
left_knee_y,0.6636447491604955,0.07277590256946118
left_knee_z,-0.13247928985965113,0.23405056883271366
left_knee_v,0.9488164889926631,0.11846281218182704
right_knee_x,0.3894380211432074,0.14665168883641388
right_knee_y,0.6631110546990268,0.0676189260804533
right_knee_z,0.06791392336908537,0.27033421700854227
right_knee_v,0.849940224704633,0.21998251001859634
left_ankle_x,0.5608945533167571,0.19023831413179101
left_ankle_y,0.7710564794139035,0.09827930027888261
left_ankle_z,0.015017008786050992,0.3583946115266942
left_ankle_v,0.9482179947888418,0.11163224405706322
right_ankle_x,0.3659348588722247,0.20575814303738327
right_ankle_y,0.7396816389274693,0.08114882136160514
right_ankle_z,0.36512791602548267,0.3804248041165153
right_ankle_v,0.8341528920441745,0.23167824672540213
left_heel_x,0.5633470754574744,0.1924382319889849
left_heel_y,0.7865061842566056,0.10105804699280782
left_heel_z,0.022781790359394725,0.3720708869437419
left_heel_v,0.8894142400127866,0.1134661584074718
right_heel_x,0.371026010271312,0.2239944364621833
right_heel_y,0.7497945633987265,0.08420865329683534
right_heel_z,0.38950566527490726,0.39604711916643176
right_heel_v,0.7621727522327414,0.20173274537433958
left_foot_index_x,0.5598875735811288,0.21536419977362334
left_foot_index_y,0.8115187877668969,0.10998977054846966
left_foot_index_z,-0.13544184847116061,0.41034931348705345
left_foot_index_v,0.9381275672029944,0.10737093288355688
right_foot_index_x,0.33655532619975986,0.19527434341284644
right_foot_index_y,0.7786740225349222,0.08863906459324597
right_foot_index_z,0.26926111363194094,0.4439283552401611
right_foot_index_v,0.8409408915284721,0.19554066409515433
