frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
1,0.63945072889328,0.09926515817642212,0.008006047457456589,0.9999816417694092,0.6422133445739746,0.08420872688293457,-0.01760772243142128,0.9999830722808838,0.644704282283783,0.08289209008216858,-0.017598574981093407,0.9999854564666748,0.6474064588546753,0.08135825395584106,-0.01766308769583702,0.9999858140945435,0.6398095488548279,0.08516508340835571,0.0313703827559948,0.9999781847000122,0.6404392123222351,0.0846433937549591,0.031367942690849304,0.9999756813049316,0.6409885883331299,0.08393466472625732,0.031371232122182846,0.9999775886535645,0.6729943156242371,0.07597395777702332,-0.07270698994398117,0.999987006187439,0.6606266498565674,0.07917773723602295,0.14346498250961304,0.9999455213546753,0.653031051158905,0.10720907151699066,-0.009510364383459091,0.9999396800994873,0.6499547958374023,0.10851636528968811,0.052606258541345596,0.9998592138290405,0.7486104369163513,0.11982089281082153,-0.18673063814640045,0.9999285936355591,0.6854339838027954,0.14522813260555267,0.2695971131324768,0.9989069700241089,0.7393609881401062,0.21652716398239136,-0.21594727039337158,0.9967241883277893,0.675774097442627,0.25262951850891113,0.12857474386692047,0.43763405084609985,0.6528920531272888,0.17942753434181213,-0.008147190324962139,0.9835413098335266,0.6369850635528564,0.20455093681812286,-0.20164525508880615,0.6093249320983887,0.6273874640464783,0.17510733008384705,-0.007882528938353062,0.9592984318733215,0.618338942527771,0.1948336660861969,-0.240266352891922,0.5482348203659058,0.6253906488418579,0.1616276353597641,0.003506579203531146,0.9567864537239075,0.6192325353622437,0.17904597520828247,-0.23285768926143646,0.5320463180541992,0.6345727443695068,0.16324645280838013,0.007756765931844711,0.9392901659011841,0.6287171244621277,0.18471619486808777,-0.21123364567756653,0.5153079032897949,0.7725840210914612,0.3494114875793457,-0.15747904777526855,0.9998036026954651,0.7401598691940308,0.3544769883155823,0.15746186673641205,0.9996330738067627,0.7311592698097229,0.5066033005714417,-0.24786721169948578,0.9842970967292786,0.7257020473480225,0.5094540119171143,0.12345032393932343,0.5353782176971436,0.8179497122764587,0.6648591756820679,-0.2613482177257538,0.9809691905975342,0.801514744758606,0.6570651531219482,0.1571463644504547,0.7177050709724426,0.8510460257530212,0.6821058988571167,-0.2639835774898529,0.9677878618240356,0.829670250415802,0.6796590089797974,0.1554166078567505,0.7053560614585876,0.7767388224601746,0.7326407432556152,-0.3467077612876892,0.9823030829429626,0.7500669956207275,0.7116220593452454,0.09595483541488647,0.8029900193214417
2,0.6520076990127563,0.11706355214118958,-0.019328460097312927,0.9999710321426392,0.6565168499946594,0.10131293535232544,-0.043188728392124176,0.9999626874923706,0.6599646210670471,0.09991493821144104,-0.043171465396881104,0.9999680519104004,0.6637003421783447,0.09830695390701294,-0.04320412501692772,0.9999620914459229,0.6521775722503662,0.10247072577476501,0.005905411671847105,0.9999561309814453,0.6522842049598694,0.10205647349357605,0.005848009139299393,0.9999566078186035,0.6523689031600952,0.10145795345306396,0.005803771782666445,0.9999603033065796,0.6895627379417419,0.09508264064788818,-0.08725710213184357,0.9999617338180542,0.6719059944152832,0.09873953461647034,0.1325128674507141,0.9998996257781982,0.6656266450881958,0.1259467750787735,-0.0324472039937973,0.9998939037322998,0.6602360606193542,0.1281968206167221,0.030651753768324852,0.9997976422309875,0.7681007981300354,0.14220409095287323,-0.18939383327960968,0.9999047517776489,0.6845284104347229,0.16769276559352875,0.26087838411331177,0.9995040893554688,0.7529803514480591,0.244027242064476,-0.2523787319660187,0.9952828288078308,0.6730979084968567,0.2667226791381836,0.10170211642980576,0.6681773066520691,0.663884699344635,0.20051461458206177,-0.12521997094154358,0.9752877354621887,0.6318256258964539,0.21118499338626862,-0.27572426199913025,0.839394748210907,0.6352537870407104,0.19108757376670837,-0.13900521397590637,0.9446827173233032,0.6192917227745056,0.19815920293331146,-0.3217965364456177,0.7889739871025085,0.6365179419517517,0.17918765544891357,-0.12585356831550598,0.941475510597229,0.6187669038772583,0.1872241199016571,-0.31405341625213623,0.7735379934310913,0.6454769372940063,0.183477520942688,-0.11150813847780228,0.9165443778038025,0.6278579235076904,0.18852350115776062,-0.28562131524086,0.7523238658905029,0.7881869673728943,0.3733747601509094,-0.16526862978935242,0.9998589754104614,0.7529841065406799,0.38001200556755066,0.1650806963443756,0.9997979998588562,0.7501009106636047,0.535390317440033,-0.25437042117118835,0.9904084205627441,0.7421859502792358,0.5328148603439331,0.175008624792099,0.5104355216026306,0.862938642501831,0.681492805480957,-0.261828750371933,0.9903642535209656,0.822935938835144,0.6718899607658386,0.26653414964675903,0.7494247555732727,0.8973627686500549,0.6893181204795837,-0.2640656530857086,0.977471113204956,0.842911422252655,0.692616879940033,0.27046820521354675,0.7542974352836609,0.8437284827232361,0.7607871890068054,-0.35827505588531494,0.9896620512008667,0.7631188631057739,0.7271593809127808,0.20261861383914948,0.8378319144248962
3,0.675967812538147,0.13187047839164734,-0.025176838040351868,0.9999804496765137,0.6803918480873108,0.11586910486221313,-0.054449886083602905,0.9999768733978271,0.6831815838813782,0.11462512612342834,-0.054412487894296646,0.9999794960021973,0.6861599087715149,0.11325681209564209,-0.05441354215145111,0.9999762773513794,0.6779406070709229,0.11654072999954224,-0.0018210600828751922,0.9999696016311646,0.6790295839309692,0.11584493517875671,-0.0018818860407918692,0.9999681711196899,0.6799875497817993,0.11509037017822266,-0.0018644771771505475,0.9999710321426392,0.7118051648139954,0.11150383949279785,-0.11836473643779755,0.999977707862854,0.6990254521369934,0.11345574259757996,0.1178673803806305,0.9999239444732666,0.6894550323486328,0.1416657716035843,-0.045255713164806366,0.9999401569366455,0.6859248280525208,0.14230725169181824,0.022472722455859184,0.9998893737792969,0.7938015460968018,0.1679270714521408,-0.2303551286458969,0.9999560117721558,0.7113661766052246,0.17981338500976562,0.25474175810813904,0.9998412132263184,0.744651734828949,0.27596962451934814,-0.26226261258125305,0.9952694773674011,0.695516049861908,0.2832146883010864,0.09656857699155807,0.5123188495635986,0.6782935261726379,0.22106924653053284,-0.0696566104888916,0.972032368183136,0.6586747765541077,0.22931712865829468,-0.2745879590511322,0.6939151883125305,0.654354989528656,0.21067091822624207,-0.07697930186986923,0.9423046708106995,0.6427131295204163,0.21746398508548737,-0.3135373294353485,0.6426873207092285,0.6560536026954651,0.19854074716567993,-0.06364636868238449,0.9407978653907776,0.6473967432975769,0.20517195761203766,-0.3083418309688568,0.625665545463562,0.6650038361549377,0.2023162990808487,-0.054653413593769073,0.9154224395751953,0.6539132595062256,0.21036867797374725,-0.2852216362953186,0.6088217496871948,0.8082345128059387,0.3906245827674866,-0.1714302897453308,0.9999306201934814,0.7744477987289429,0.39578956365585327,0.17121683061122894,0.9999276399612427,0.783270001411438,0.5521355867385864,-0.2538241147994995,0.9949599504470825,0.7716864347457886,0.5484943985939026,0.20501738786697388,0.6475012302398682,0.9160861968994141,0.6878261566162109,-0.2437303364276886,0.9960997104644775,0.8494029641151428,0.6895771622657776,0.3077530562877655,0.8861013650894165,0.9488869905471802,0.6879993081092834,-0.24351707100868225,0.9875169396400452,0.8690885901451111,0.7154765129089355,0.31154853105545044,0.8537271022796631,0.9148886799812317,0.7680355310440063,-0.323365181684494,0.9963879585266113,0.7822257280349731,0.7379785776138306,0.24763473868370056,0.9384621381759644
4,0.7105536460876465,0.14729094505310059,-0.054873306304216385,0.9999793767929077,0.7142044901847839,0.1289048194885254,-0.07904855906963348,0.9999701976776123,0.7177343964576721,0.1273607611656189,-0.07900745421648026,0.9999710321426392,0.721686065196991,0.12570089101791382,-0.07896501570940018,0.9999678134918213,0.7097021341323853,0.130477637052536,-0.029514361172914505,0.9999666213989258,0.7096828818321228,0.13019409775733948,-0.029594488441944122,0.9999632835388184,0.7095186710357666,0.12991678714752197,-0.029583118855953217,0.9999698400497437,0.7455193400382996,0.12255647778511047,-0.12086177617311478,0.9999550580978394,0.7251814007759094,0.12750935554504395,0.10318415611982346,0.9998975992202759,0.7252591848373413,0.1560848355293274,-0.06653406471014023,0.999909520149231,0.7195906043052673,0.15735706686973572,-0.002310236683115363,0.999859094619751,0.830036997795105,0.17771016061306,-0.21277102828025818,0.9998898506164551,0.7370761036872864,0.20141011476516724,0.2354358732700348,0.9997804760932922,0.7799149751663208,0.2717556953430176,-0.2666866183280945,0.9953935146331787,0.7204756140708923,0.3017593026161194,0.08492089062929153,0.7313628792762756,0.7082164883613586,0.2334955483675003,-0.11659612506628036,0.9783713817596436,0.6884222626686096,0.2530980110168457,-0.2906799912452698,0.8710283041000366,0.682889461517334,0.2222195565700531,-0.1281266063451767,0.9511529803276062,0.672944962978363,0.24092480540275574,-0.33581387996673584,0.8086063861846924,0.6845372915267944,0.21282821893692017,-0.11785752326250076,0.9478362798690796,0.6769190430641174,0.22545184195041656,-0.32894018292427063,0.7946318984031677,0.693049967288971,0.21436645090579987,-0.10384498536586761,0.9239521622657776,0.6860144138336182,0.22770461440086365,-0.30028507113456726,0.7723713517189026,0.8452856540679932,0.398539274930954,-0.1573963165283203,0.9998250603675842,0.7988162040710449,0.4083702564239502,0.15727055072784424,0.9998379945755005,0.8214221000671387,0.5636669993400574,-0.2505076825618744,0.9966585636138916,0.7991735935211182,0.5595582723617554,0.16642655432224274,0.8615682721138,0.9593830704689026,0.6970466375350952,-0.24451471865177155,0.9971765279769897,0.8675539493560791,0.7077527046203613,0.2612212002277374,0.9517043828964233,0.9840141534805298,0.6991655826568604,-0.24743060767650604,0.9854856729507446,0.8935117721557617,0.7300817966461182,0.2629404067993164,0.9097794890403748,0.9637246131896973,0.7781583070755005,-0.36191925406455994,0.9970222115516663,0.7995392084121704,0.7490614652633667,0.17473739385604858,0.967715859413147
5,0.7191032767295837,0.17012956738471985,-0.091344453394413,0.9999619722366333,0.7239177823066711,0.15115204453468323,-0.11797881126403809,0.9999566078186035,0.7276113033294678,0.14984235167503357,-0.11794413626194,0.9999583959579468,0.731545627117157,0.14857164025306702,-0.11796092987060547,0.9999508857727051,0.7185107469558716,0.15282917022705078,-0.06935103237628937,0.999948263168335,0.7181661128997803,0.15264174342155457,-0.06941469013690948,0.9999409914016724,0.7176427245140076,0.1525174379348755,-0.06941531598567963,0.9999476671218872,0.75681471824646,0.14706233143806458,-0.16228929162025452,0.9999518394470215,0.7351263165473938,0.15149086713790894,0.05603775009512901,0.9998939037322998,0.7355777621269226,0.18116770684719086,-0.10320501029491425,0.9999042749404907,0.7292059063911438,0.18242360651493073,-0.04042888432741165,0.9998483657836914,0.8399996757507324,0.20297440886497498,-0.23988965153694153,0.9998056292533875,0.7532147169113159,0.22334198653697968,0.18695102632045746,0.9997492432594299,0.7828647494316101,0.30314040184020996,-0.27799224853515625,0.9960214495658875,0.7170400619506836,0.3156857490539551,0.03708009421825409,0.7136022448539734,0.7220882177352905,0.25606048107147217,-0.11974089592695236,0.9822292327880859,0.6887548565864563,0.26575756072998047,-0.3262006938457489,0.8456866145133972,0.6957461833953857,0.24180644750595093,-0.12871932983398438,0.9590932130813599,0.6742565035820007,0.2483670860528946,-0.37186670303344727,0.7802081108093262,0.7005288004875183,0.22934788465499878,-0.1253044605255127,0.956963300704956,0.6820871233940125,0.23607683181762695,-0.3622724413871765,0.762519359588623,0.7084634900093079,0.23193922638893127,-0.1097070649266243,0.9406492114067078,0.6919416785240173,0.24227061867713928,-0.3348568379878998,0.7393285632133484,0.8561083674430847,0.42842331528663635,-0.1408938616514206,0.9994109869003296,0.8135032653808594,0.4340534508228302,0.14089590311050415,0.9995129108428955,0.8310529589653015,0.5866221189498901,-0.20959676802158356,0.990594744682312,0.8096452355384827,0.5822211503982544,0.15359586477279663,0.7046205997467041,0.9622745513916016,0.7140464186668396,-0.17392393946647644,0.9857519268989563,0.8677303791046143,0.716875433921814,0.24150113761425018,0.8227826952934265,0.9879804849624634,0.7333146333694458,-0.17321090400218964,0.9725024700164795,0.8935050368309021,0.7419570684432983,0.2431119978427887,0.8189840316772461,0.9426177740097046,0.791359543800354,-0.26904380321502686,0.9843509197235107,0.8014198541641235,0.7539423704147339,0.16304846107959747,0.866118848323822
6,0.7143683433532715,0.17903858423233032,-0.08436767756938934,0.9999443292617798,0.7211334109306335,0.16235792636871338,-0.11110904067754745,0.9999359846115112,0.7251710295677185,0.16089537739753723,-0.11108312755823135,0.9999390840530396,0.7294939756393433,0.15931576490402222,-0.11108928173780441,0.9999305009841919,0.7150450944900513,0.16373690962791443,-0.06223774701356888,0.999922513961792,0.7145509123802185,0.16335803270339966,-0.06229119375348091,0.9999136924743652,0.7139284014701843,0.16296812891960144,-0.06227254122495651,0.9999198913574219,0.7555192708969116,0.1576383411884308,-0.15559740364551544,0.9999350309371948,0.7303690910339355,0.16243407130241394,0.06426148116588593,0.9998158812522888,0.7308052778244019,0.1913456916809082,-0.09612125158309937,0.9998724460601807,0.7236484289169312,0.19203752279281616,-0.03298034518957138,0.999749481678009,0.8366215825080872,0.2124255746603012,-0.2351507842540741,0.9998515844345093,0.7499313354492188,0.2294253706932068,0.1980106085538864,0.9995529055595398,0.7999097108840942,0.3114689588546753,-0.27481648325920105,0.9971750974655151,0.7174580097198486,0.32695499062538147,0.05445912480354309,0.651644229888916,0.7193372845649719,0.2773051857948303,-0.11950332671403885,0.9841330051422119,0.6860276460647583,0.28510957956314087,-0.3087272047996521,0.7988755702972412,0.6949905157089233,0.26673614978790283,-0.1276354044675827,0.9579235911369324,0.6784356832504272,0.2701346278190613,-0.3533174991607666,0.7238695025444031,0.6956828832626343,0.25376737117767334,-0.11758434027433395,0.9550285935401917,0.681981086730957,0.25599080324172974,-0.3448488712310791,0.7048859000205994,0.7052966356277466,0.2567110061645508,-0.10575853288173676,0.93702632188797,0.6902706623077393,0.26106205582618713,-0.31789639592170715,0.6802830100059509,0.8528780341148376,0.4433084726333618,-0.1424119919538498,0.9993991851806641,0.808788001537323,0.4494986832141876,0.142378568649292,0.9992870688438416,0.846626877784729,0.6098566055297852,-0.21731582283973694,0.9863678812980652,0.7931624054908752,0.5927884578704834,0.163716658949852,0.6869660019874573,0.9747207760810852,0.738005518913269,-0.19633105397224426,0.9808219075202942,0.8569188714027405,0.728854238986969,0.25694772601127625,0.7973870038986206,1.00325608253479,0.7551079988479614,-0.19839350879192352,0.9605388641357422,0.8859004974365234,0.7563201189041138,0.2587847113609314,0.7971352934837341,0.9451693296432495,0.8066116571426392,-0.31592828035354614,0.9797117114067078,0.786848247051239,0.7676502466201782,0.17369380593299866,0.8494661450386047
7,0.725444495677948,0.181977778673172,-0.09590356051921844,0.9998571872711182,0.73023521900177,0.16376513242721558,-0.12654481828212738,0.9998118281364441,0.7339009046554565,0.1616954505443573,-0.1265627145767212,0.9998317956924438,0.7380197048187256,0.1596338152885437,-0.12661193311214447,0.999784529209137,0.72533118724823,0.165982186794281,-0.07751584053039551,0.999788224697113,0.7249397039413452,0.165659099817276,-0.07751120626926422,0.99978107213974,0.7244478464126587,0.16542348265647888,-0.07753477990627289,0.9997531771659851,0.7629380822181702,0.15618237853050232,-0.18228484690189362,0.9999035596847534,0.7398437261581421,0.16320377588272095,0.04025222733616829,0.9996122717857361,0.7397589087486267,0.19203075766563416,-0.11017875373363495,0.9998328685760498,0.733803391456604,0.1930633783340454,-0.046284258365631104,0.9995385408401489,0.8452531099319458,0.2080245316028595,-0.2567470669746399,0.9999232292175293,0.7611041069030762,0.2275824397802353,0.17934948205947876,0.9993987083435059,0.8579229116439819,0.30176258087158203,-0.30331775546073914,0.9973419308662415,0.7425379753112793,0.33087390661239624,0.031156161800026894,0.5386354923248291,0.7482821941375732,0.2939230799674988,-0.1898297369480133,0.9856423735618591,0.7113135457038879,0.2899419069290161,-0.3287825286388397,0.7422418594360352,0.7173804640769958,0.289811909198761,-0.20624148845672607,0.9594182372093201,0.697425365447998,0.2772325873374939,-0.37594377994537354,0.670979380607605,0.7172622084617615,0.27081498503685,-0.19280341267585754,0.9565371870994568,0.6990940570831299,0.260409951210022,-0.3729425370693207,0.6506865620613098,0.728441596031189,0.27197808027267456,-0.17484353482723236,0.9349119663238525,0.7089470028877258,0.26130229234695435,-0.3408678472042084,0.6268944144248962,0.8566303849220276,0.44701841473579407,-0.1425047516822815,0.9988816380500793,0.8195064067840576,0.4504000246524811,0.14251337945461273,0.9987454414367676,0.8712711334228516,0.6123076677322388,-0.1638418436050415,0.9888004064559937,0.8024964332580566,0.5956542491912842,0.21818725764751434,0.7432384490966797,0.992072582244873,0.7486820220947266,-0.09515756368637085,0.9727281332015991,0.8572373390197754,0.7324187755584717,0.35950055718421936,0.8119547367095947,1.0070827007293701,0.7661038041114807,-0.09496121108531952,0.9245520830154419,0.8852638006210327,0.7607518434524536,0.3654949963092804,0.7996242642402649,0.9539844393730164,0.8178950548171997,-0.23183299601078033,0.9627469778060913,0.7943923473358154,0.7729584574699402,0.27459579706192017,0.8241778016090393
8,0.7276743650436401,0.17354512214660645,-0.11418430507183075,0.9998071789741516,0.7309847474098206,0.1559446156024933,-0.1440470963716507,0.9997425675392151,0.7342920303344727,0.15405213832855225,-0.1440497487783432,0.9997658133506775,0.7378856539726257,0.15194442868232727,-0.14404185116291046,0.9997281432151794,0.7265242338180542,0.1574040651321411,-0.09177353978157043,0.9996583461761475,0.7264329195022583,0.1567748486995697,-0.09182596206665039,0.9996277093887329,0.7262442111968994,0.15620532631874084,-0.09182681143283844,0.999599039554596,0.7632797360420227,0.14607372879981995,-0.1978922039270401,0.9998323917388916,0.7436874508857727,0.15182623267173767,0.038622498512268066,0.9991756081581116,0.7418171167373657,0.18354883790016174,-0.12831902503967285,0.9997562766075134,0.7370874881744385,0.18448522686958313,-0.060468725860118866,0.9992839694023132,0.8532555103302002,0.19837597012519836,-0.2834739685058594,0.9999290704727173,0.764728844165802,0.21334674954414368,0.18194662034511566,0.9990772008895874,0.8635339140892029,0.28703099489212036,-0.36537519097328186,0.9980636239051819,0.7413927316665649,0.30627405643463135,0.03288557007908821,0.5049033164978027,0.7536580562591553,0.2885514795780182,-0.27033665776252747,0.9881654977798462,0.7105708122253418,0.2785491347312927,-0.3430711627006531,0.6665594577789307,0.7236782908439636,0.28498297929763794,-0.2915080189704895,0.9666611552238464,0.7016658186912537,0.2717905044555664,-0.39134466648101807,0.5878885388374329,0.7226918935775757,0.2660818099975586,-0.2765815258026123,0.9638858437538147,0.7040274143218994,0.25780829787254333,-0.39025840163230896,0.5710759162902832,0.7320635914802551,0.26697486639022827,-0.25489741563796997,0.943175733089447,0.7120208740234375,0.25779080390930176,-0.3565540015697479,0.5563161373138428,0.8641600608825684,0.4407164454460144,-0.1553613245487213,0.9989022016525269,0.8253676295280457,0.4444164037704468,0.1553381085395813,0.9985471367835999,0.8808149099349976,0.603056788444519,-0.1889714151620865,0.9882286787033081,0.8083189725875854,0.5843095779418945,0.1833215206861496,0.7412893176078796,0.996370792388916,0.740744948387146,-0.12698154151439667,0.9808729887008667,0.8593550324440002,0.730366587638855,0.30959779024124146,0.8338103890419006,1.0268986225128174,0.7625317573547363,-0.12788395583629608,0.9364708662033081,0.8908584117889404,0.7600674033164978,0.3136395812034607,0.8317084312438965,0.9637629985809326,0.8126357793807983,-0.2784479856491089,0.9755154848098755,0.7947820425033569,0.7738370895385742,0.212799534201622,0.8725217580795288
9,0.6959565281867981,0.17285919189453125,-0.14143891632556915,0.9999663829803467,0.7022216320037842,0.1539667546749115,-0.17264977097511292,0.9999432563781738,0.705926775932312,0.15263640880584717,-0.17264270782470703,0.9999498128890991,0.7098134756088257,0.15113049745559692,-0.17261990904808044,0.9999346733093262,0.6966360211372375,0.15525710582733154,-0.11920328438282013,0.9999393224716187,0.6965963840484619,0.15469810366630554,-0.11923164129257202,0.9999361038208008,0.6963998079299927,0.15424486994743347,-0.11922982335090637,0.999921441078186,0.737284243106842,0.148212730884552,-0.22188784182071686,0.9999634027481079,0.715437114238739,0.15256929397583008,0.019729111343622208,0.9998250603675842,0.7119803428649902,0.18483954668045044,-0.15312518179416656,0.999956488609314,0.7046266198158264,0.1841665804386139,-0.08391585201025009,0.9998732805252075,0.8288648724555969,0.19965381920337677,-0.2894465923309326,0.999962329864502,0.7252886891365051,0.22113807499408722,0.17211376130580902,0.9996308088302612,0.861588716506958,0.29392126202583313,-0.32822588086128235,0.9970796704292297,0.7187877893447876,0.3195250928401947,0.037762220948934555,0.6008113026618958,0.7456678152084351,0.29127222299575806,-0.20210084319114685,0.9835292100906372,0.7001495957374573,0.2904401421546936,-0.33714860677719116,0.7964737415313721,0.714847981929779,0.28617697954177856,-0.2163744419813156,0.9576775431632996,0.6827276945114136,0.2842394709587097,-0.3877273201942444,0.7291831970214844,0.7143487930297852,0.270277738571167,-0.20668375492095947,0.9542931318283081,0.6874061822891235,0.27125832438468933,-0.38576844334602356,0.7148290872573853,0.7214081883430481,0.27219247817993164,-0.18635059893131256,0.9287963509559631,0.6927921175956726,0.27101701498031616,-0.34984904527664185,0.6838870644569397,0.8496158719062805,0.441188782453537,-0.15396402776241302,0.9997636675834656,0.7948681712150574,0.4530842900276184,0.1539037674665451,0.9995762705802917,0.864969789981842,0.6049201488494873,-0.2171684056520462,0.9962395429611206,0.7881973385810852,0.5976815819740295,0.3165481388568878,0.8980655074119568,0.9696301221847534,0.7691186666488647,-0.1860242784023285,0.9961840510368347,0.8275852799415588,0.7490777969360352,0.5311718583106995,0.9578525424003601,0.9963852167129517,0.7898737192153931,-0.19202739000320435,0.9743004441261292,0.8520107269287109,0.7783690690994263,0.5430564284324646,0.917408287525177,0.9328984022140503,0.8444985151290894,-0.3692241311073303,0.9955109357833862,0.7622279524803162,0.7988499999046326,0.44861817359924316,0.968051552772522
10,0.7009414434432983,0.17807012796401978,-0.15383844077587128,0.9999706745147705,0.7061879634857178,0.1586005985736847,-0.1836746633052826,0.9999516010284424,0.7103032469749451,0.1568015217781067,-0.18365342915058136,0.9999558925628662,0.7145240902900696,0.15479117631912231,-0.1836230754852295,0.9999427795410156,0.6991859674453735,0.16046985983848572,-0.13096915185451508,0.9999452829360962,0.6984170079231262,0.16010969877243042,-0.13101425766944885,0.9999405145645142,0.6975824236869812,0.1597701907157898,-0.13099126517772675,0.9999290704727173,0.7401694655418396,0.15015852451324463,-0.22461767494678497,0.9999663829803467,0.7149645090103149,0.15615689754486084,0.014022236689925194,0.9998328685760498,0.7173780202865601,0.18854793906211853,-0.16226398944854736,0.9999603033065796,0.7090905904769897,0.18868806958198547,-0.0939493179321289,0.9998869895935059,0.8341534733772278,0.2043137401342392,-0.28732186555862427,0.9999641180038452,0.7232653498649597,0.22051070630550385,0.1643977016210556,0.9997125267982483,0.8519040942192078,0.3004493713378906,-0.3328443467617035,0.9971829652786255,0.7141252756118774,0.314411997795105,0.00679621659219265,0.6847219467163086,0.7403931021690369,0.2914141118526459,-0.20486152172088623,0.9852924942970276,0.6937112212181091,0.2876497209072113,-0.3970150351524353,0.8400599956512451,0.7097035050392151,0.28600552678108215,-0.21964536607265472,0.9616060853004456,0.6839495897293091,0.28140419721603394,-0.4510095417499542,0.775965690612793,0.7085606455802917,0.26935136318206787,-0.20941205322742462,0.9585779905319214,0.6828266382217407,0.2630670964717865,-0.44569680094718933,0.7620680332183838,0.7188682556152344,0.2710752487182617,-0.18891511857509613,0.934921145439148,0.6939967274665833,0.2678585350513458,-0.4086405038833618,0.7327635288238525,0.8501270413398743,0.44222891330718994,-0.15213946998119354,0.9997807145118713,0.7945662140846252,0.45412692427635193,0.15205536782741547,0.9996463060379028,0.8640211224555969,0.6056216955184937,-0.2114674150943756,0.9954544305801392,0.7876850962638855,0.5968431234359741,0.3062562644481659,0.8863393664360046,0.9690391421318054,0.7662087678909302,-0.17342568933963776,0.9957976341247559,0.8259676694869995,0.7475419044494629,0.5205363035202026,0.951962411403656,0.9952266812324524,0.7853034734725952,-0.178204745054245,0.9718620777130127,0.8515439629554749,0.7767937183380127,0.5326319932937622,0.9083408713340759,0.9346209764480591,0.8437575101852417,-0.35390540957450867,0.9951932430267334,0.7606157660484314,0.8006861209869385,0.43542078137397766,0.964043378829956
