,Average (Mean),Tolerance (Std)
nose_x,0.48176677250410094,0.14443837355844902
nose_y,0.3240004551040117,0.06905328496803749
nose_z,-0.36518044012604634,0.2912829618247462
nose_v,0.9983889723370736,0.006327289793223985
left_eye_inner_x,0.4839217978212621,0.14329071052879552
left_eye_inner_y,0.31088567056694777,0.07068628997371526
left_eye_inner_z,-0.3596774561860294,0.2855096781927706
left_eye_inner_v,0.9979216224880235,0.006693546786054567
left_eye_x,0.48615856876685504,0.14245306309557484
left_eye_y,0.3101447621389987,0.07078798846645375
left_eye_z,-0.35974023381180975,0.2854928403843589
left_eye_v,0.9978387283532497,0.006560024336092315
left_eye_outer_x,0.4884266408958605,0.14169766290070046
left_eye_outer_y,0.30935131659898807,0.07090989009719267
left_eye_outer_z,-0.359849592102632,0.28555348091568544
left_eye_outer_v,0.9980630996576272,0.0055430350066354266
right_eye_inner_x,0.4754217204159845,0.1452240900837209
right_eye_inner_y,0.3106538327887155,0.0705530444667917
right_eye_inner_z,-0.3778923260039455,0.2838639991702401
right_eye_inner_v,0.9976701119641989,0.00997978736513945
right_eye_x,0.4714424277785541,0.14572615781495576
right_eye_y,0.3097444387707971,0.07057068190920605
right_eye_z,-0.3779521201062961,0.2839211837486794
right_eye_v,0.9974633250024163,0.01171165407869959
right_eye_outer_x,0.4672454408841369,0.14630163790220477
right_eye_outer_y,0.3087140202942769,0.07054445811074664
right_eye_outer_z,-0.3780503430174644,0.2839224525753007
right_eye_outer_v,0.9973833398003217,0.01315991783453493
left_ear_x,0.484295357271661,0.1396321342532139
left_ear_y,0.30702191925027805,0.07035202396699172
left_ear_z,-0.24604559078557453,0.25239377469928553
left_ear_v,0.9975897496602313,0.006831388984758734
right_ear_x,0.4538943571493529,0.14615543995134322
right_ear_y,0.30680244422568637,0.07018854206281708
right_ear_z,-0.325864895249135,0.247585286984561
right_ear_v,0.9974770739648288,0.014255364929248428
mouth_left_x,0.483289951222047,0.14032980697558048
mouth_left_y,0.33345266789644695,0.06772585993875117
mouth_left_z,-0.3123495751065614,0.26562472778430796
mouth_left_v,0.9984819433098328,0.004603958195649682
mouth_right_x,0.4726910720196613,0.1427730661488099
mouth_right_y,0.3331266622169098,0.06756528961885236
mouth_right_z,-0.33600008590414326,0.2637088883991642
mouth_right_v,0.9985184360959122,0.004663053199733721
left_shoulder_x,0.5086078011780661,0.14671592869170416
left_shoulder_y,0.35721804452583694,0.06750823838675968
left_shoulder_z,-0.13065922232497196,0.2665890913066552
left_shoulder_v,0.9994886735917399,0.0012294428615255426
right_shoulder_x,0.40244270071413574,0.16271552055927926
right_shoulder_y,0.3579148799312388,0.06270433385962823
right_shoulder_z,-0.2624722024179359,0.26730542290976145
right_shoulder_v,0.9994548938682261,0.002191050391384076
left_elbow_x,0.5412715110711004,0.1539037451870842
left_elbow_y,0.4319173770002377,0.07519849775098128
left_elbow_z,-0.1809955231758093,0.3352209062569523
left_elbow_v,0.686551961462659,0.34504468160831553
right_elbow_x,0.41035988803696694,0.17567507066684504
right_elbow_y,0.43817626028543427,0.06813920002604135
right_elbow_z,-0.33864760202283,0.3154751404802465
right_elbow_v,0.8457967098716095,0.2836094551757946
left_wrist_x,0.5250329705911181,0.14637032261776797
left_wrist_y,0.4172259523045449,0.09225551199012719
left_wrist_z,-0.3706565322188449,0.4452382820944006
left_wrist_v,0.7310040195875372,0.30033206568706605
right_wrist_x,0.46696054041911267,0.16056397328428323
right_wrist_y,0.40829111428724396,0.0844719536036983
right_wrist_z,-0.42808586196386506,0.4171604484892339
right_wrist_v,0.8379842639907725,0.28254289051594883
left_pinky_x,0.5211974488180361,0.15265027121015334
left_pinky_y,0.4144635293797,0.09972753742872974
left_pinky_z,-0.41826785687225576,0.4776385191132868
left_pinky_v,0.703657688114733,0.28399037429691326
right_pinky_x,0.48340370878248723,0.16265177387398683
right_pinky_y,0.4014178175525165,0.09144551694004673
right_pinky_z,-0.47238567135131687,0.4495379370739073
right_pinky_v,0.8186527182610058,0.27330915083460544
left_index_x,0.5183618653243707,0.15084480872037456
left_index_y,0.40483443273438346,0.09802664559245206
left_index_z,-0.4208926373413711,0.46645167211604677
left_index_v,0.7024310707636966,0.281793298186291
right_index_x,0.4808639223100962,0.1599349105310599
right_index_y,0.3908179652675119,0.09092550634315767
right_index_z,-0.4690074222572617,0.4378989645793145
right_index_v,0.8141080659197815,0.2723716497132079
left_thumb_x,0.5167277197844663,0.14788617379290606
left_thumb_y,0.4058480849538846,0.09525330475505871
left_thumb_z,-0.3764253493256733,0.44315173762852333
left_thumb_v,0.6833051527407664,0.27107669269723605
right_thumb_x,0.47694073198938075,0.15785984524749533
right_thumb_y,0.39336741834589833,0.0884819429007578
right_thumb_z,-0.42704403140724634,0.4154291038127129
right_thumb_v,0.7907859480149741,0.2655796246968154
left_hip_x,0.4903800063840454,0.16204495295016316
