frame_number,nose_x,nose_y,nose_z,nose_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v
1,0.654801,0.317324,0.0,0.9927,0.679954,0.299376,0.0,0.9942,0.628655,0.307951,0.0,0.9452,0.760708,0.298987,0.0,0.9472,0.61571,0.321663,0.0,0.1313,0.870781,0.379508,0.0,0.9977,0.624905,0.393163,0.0,0.9991,0.794892,0.449686,0.0,0.9967,0.49707,0.468286,0.0,0.9993,0.727409,0.360112,0.0,0.9938,0.4516,0.392675,0.0,0.9985,0.817741,0.607986,0.0,0.9987,0.636378,0.606243,0.0,0.9997,0.899199,0.780665,0.0,0.9965,0.526995,0.762279,0.0,0.9998,0.988005,0.929054,0.0,0.9307,0.482881,0.926584,0.0,0.9801
2,0.663025,0.315859,0.0,0.9934,0.686644,0.297835,0.0,0.9945,0.636086,0.307627,0.0,0.9514,0.765364,0.298381,0.0,0.9486,0.622425,0.323176,0.0,0.1605,0.878585,0.378034,0.0,0.9978,0.627756,0.391593,0.0,0.9992,0.809118,0.445785,0.0,0.9963,0.486676,0.463131,0.0,0.9993,0.746687,0.356772,0.0,0.9926,0.436067,0.38782,0.0,0.9985,0.822072,0.607337,0.0,0.9988,0.639182,0.60503,0.0,0.9997,0.903264,0.782633,0.0,0.9965,0.529828,0.761127,0.0,0.9998,0.991301,0.930115,0.0,0.9247,0.482726,0.924982,0.0,0.9795
3,0.669136,0.313935,0.0,0.9926,0.693538,0.296073,0.0,0.9935,0.641045,0.305601,0.0,0.9562,0.770994,0.29742,0.0,0.9376,0.625103,0.321792,0.0,0.1915,0.880972,0.3786,0.0,0.997,0.62374,0.390346,0.0,0.9991,0.822324,0.444246,0.0,0.9944,0.475914,0.453,0.0,0.9992,0.75621,0.353704,0.0,0.9926,0.408017,0.383632,0.0,0.9988,0.825372,0.606835,0.0,0.9987,0.641856,0.604395,0.0,0.9997,0.904738,0.781241,0.0,0.9963,0.532767,0.760328,0.0,0.9998,0.991528,0.929267,0.0,0.9192,0.481489,0.924075,0.0,0.9792
4,0.672952,0.313334,0.0,0.9916,0.697224,0.295402,0.0,0.9928,0.643579,0.305387,0.0,0.9622,0.774417,0.296046,0.0,0.9328,0.627348,0.32124,0.0,0.2325,0.886198,0.378537,0.0,0.996,0.619157,0.389144,0.0,0.9989,0.830385,0.442269,0.0,0.9912,0.457594,0.44062,0.0,0.9988,0.765168,0.354777,0.0,0.9898,0.368848,0.377598,0.0,0.9983,0.829363,0.605006,0.0,0.9983,0.645614,0.602779,0.0,0.9997,0.904976,0.778289,0.0,0.9961,0.534415,0.758417,0.0,0.9998,0.985532,0.92339,0.0,0.9345,0.481388,0.922535,0.0,0.9839
5,0.674321,0.314037,0.0,0.9927,0.698328,0.295882,0.0,0.9923,0.645214,0.305237,0.0,0.9648,0.776618,0.296105,0.0,0.9253,0.631391,0.321,0.0,0.2354,0.889807,0.38034,0.0,0.9951,0.610923,0.387923,0.0,0.9992,0.841035,0.440399,0.0,0.9913,0.437594,0.42472,0.0,0.9992,0.772095,0.353378,0.0,0.9923,0.318769,0.36957,0.0,0.9989,0.831651,0.609502,0.0,0.9971,0.642758,0.606974,0.0,0.9993,0.899922,0.77846,0.0,0.9925,0.536431,0.763664,0.0,0.9992,0.972017,0.925694,0.0,0.909,0.469612,0.926715,0.0,0.9571
6,0.675809,0.314284,0.0,0.9927,0.700332,0.296506,0.0,0.9919,0.647001,0.305416,0.0,0.9662,0.779358,0.297148,0.0,0.9299,0.63255,0.321048,0.0,0.2417,0.891427,0.380928,0.0,0.994,0.602473,0.385627,0.0,0.9991,0.84965,0.441223,0.0,0.9908,0.417341,0.410471,0.0,0.9992,0.777228,0.354809,0.0,0.9932,0.262901,0.360415,0.0,0.9991,0.832715,0.611972,0.0,0.9974,0.638677,0.609685,0.0,0.9993,0.901088,0.777376,0.0,0.993,0.533662,0.766006,0.0,0.9993,0.96431,0.924427,0.0,0.9105,0.471579,0.930239,0.0,0.9547
7,0.676162,0.314865,0.0,0.9932,0.700955,0.29696,0.0,0.9919,0.646878,0.305856,0.0,0.9705,0.779082,0.297054,0.0,0.936,0.631228,0.32038,0.0,0.2542,0.889179,0.380749,0.0,0.9949,0.590463,0.385236,0.0,0.9993,0.854325,0.439901,0.0,0.9916,0.392483,0.393667,0.0,0.9992,0.780835,0.353758,0.0,0.9943,0.211838,0.356967,0.0,0.9991,0.831376,0.615044,0.0,0.998,0.631423,0.613324,0.0,0.9994,0.907768,0.78015,0.0,0.9932,0.526191,0.768676,0.0,0.9994,0.968042,0.928534,0.0,0.8895,0.474739,0.931323,0.0,0.9501
8,0.675094,0.315052,0.0,0.9928,0.699297,0.297438,0.0,0.9901,0.645448,0.306314,0.0,0.9696,0.77572,0.297477,0.0,0.9313,0.629452,0.321036,0.0,0.2524,0.88762,0.380787,0.0,0.9946,0.579192,0.382527,0.0,0.9994,0.854891,0.440277,0.0,0.991,0.37175,0.380332,0.0,0.9992,0.781503,0.354109,0.0,0.9937,0.174338,0.356992,0.0,0.9993,0.830792,0.614534,0.0,0.9982,0.628182,0.61292,0.0,0.9995,0.908886,0.780271,0.0,0.9939,0.524163,0.76862,0.0,0.9995,0.971747,0.930899,0.0,0.8864,0.479099,0.932579,0.0,0.9544
9,0.672097,0.31412,0.0,0.9935,0.697231,0.297107,0.0,0.9911,0.643269,0.305073,0.0,0.9695,0.773938,0.298016,0.0,0.9346,0.626802,0.319615,0.0,0.253,0.884124,0.381899,0.0,0.9949,0.577398,0.377505,0.0,0.9992,0.853237,0.440234,0.0,0.9918,0.372354,0.37072,0.0,0.999,0.781809,0.353323,0.0,0.9933,0.160705,0.355956,0.0,0.9993,0.827358,0.61355,0.0,0.9985,0.625437,0.611109,0.0,0.9996,0.909194,0.780329,0.0,0.9949,0.524351,0.767375,0.0,0.9996,0.977915,0.929751,0.0,0.8993,0.477682,0.931995,0.0,0.9595
10,0.670846,0.313809,0.0,0.9935,0.695002,0.296151,0.0,0.99,0.640573,0.305116,0.0,0.9679,0.770511,0.296608,0.0,0.9213,0.623661,0.320003,0.0,0.2487,0.88209,0.380892,0.0,0.9943,0.575448,0.375088,0.0,0.9991,0.850473,0.440347,0.0,0.9926,0.370948,0.368808,0.0,0.999,0.781268,0.353955,0.0,0.9953,0.158123,0.356297,0.0,0.9994,0.826068,0.613613,0.0,0.9985,0.623893,0.611454,0.0,0.9996,0.910814,0.778357,0.0,0.9947,0.523288,0.767122,0.0,0.9996,0.981107,0.929498,0.0,0.8915,0.477177,0.930973,0.0,0.9594
