,Average (Mean),Tolerance (Std)
nose_x,0.44971926968431497,0.1424116538483346
nose_y,0.2852671125158482,0.06961679222089269
nose_z,-0.09775853454952411,0.33634744575327247
nose_v,0.9989228359371142,0.00234778385266177
left_eye_inner_x,0.45065991302992076,0.14193662111198108
left_eye_inner_y,0.26949912813034116,0.07073388376749733
left_eye_inner_z,-0.14141397330059677,0.3197271340950774
left_eye_inner_v,0.9990093566674051,0.0018584400852569855
left_eye_x,0.45225614220030164,0.14120497884783026
left_eye_y,0.2686376768481274,0.07076931239729395
left_eye_z,-0.1414641881416766,0.31969835553104464
left_eye_v,0.9989821269670172,0.0020043095421255113
left_eye_outer_x,0.4539050542980091,0.14066597298149028
left_eye_outer_y,0.2677983324891249,0.07078504090333261
left_eye_outer_z,-0.14160024782819464,0.3197626472207401
left_eye_outer_v,0.999060157911066,0.0017514064297719
right_eye_inner_x,0.4492906606057775,0.14213162452286848
right_eye_inner_y,0.26932489583162034,0.07091784947523855
right_eye_inner_z,-0.11702536666486169,0.3150630626839185
right_eye_inner_v,0.9988387007290414,0.002277627201576655
right_eye_x,0.44990634411484315,0.14149622920149738
right_eye_y,0.26839424628907316,0.0710899566695202
right_eye_z,-0.11705148819193681,0.315097541911308
right_eye_v,0.9987199408947441,0.00267019067907402
right_eye_outer_x,0.4506125470589035,0.14089326178909117
right_eye_outer_y,0.2674313354875297,0.07129897183329302
right_eye_outer_z,-0.117231565088385,0.3150692056609271
right_eye_outer_v,0.9988326615044651,0.0022629678181252
left_ear_x,0.4686992905113343,0.1340924053152991
left_ear_y,0.2663093519985943,0.07055324840111526
left_ear_z,-0.2242707169977073,0.2592842974110678
left_ear_v,0.9988080335898843,0.002140331969537035
right_ear_x,0.46735036882465614,0.1325438265667541
right_ear_y,0.26562986910105585,0.07162501666959058
right_ear_z,-0.11591060858975598,0.2345381504629116
right_ear_v,0.9986900406865024,0.0023782281794316085
mouth_left_x,0.46004201247768434,0.13618162178517887
mouth_left_y,0.29602579294328496,0.06913974118093402
mouth_left_z,-0.11395497436386907,0.2997022835425927
mouth_left_v,0.9986110297553742,0.002540132763229363
mouth_right_x,0.45777758753635306,0.13603811463991014
mouth_right_y,0.2959468144576349,0.06924573870775079
mouth_right_z,-0.08269561120052497,0.2943154238711114
mouth_right_v,0.9983528384713314,0.0032418567985314345
left_shoulder_x,0.4866442319412224,0.15475812112715473
left_shoulder_y,0.33415005285168503,0.06499546497163874
left_shoulder_z,-0.22269849804123074,0.2984408667720005
left_shoulder_v,0.999149761422095,0.0013488711027369747
right_shoulder_x,0.5239962146695895,0.15556204992489936
right_shoulder_y,0.3272349655583657,0.06638336490459655
right_shoulder_z,-0.02736021186748666,0.2747743296634218
