vel_start,dom_ratio,punch_cd,ew_hook,up_vel,wf1,acc,fp
0.018,1.05,6,0.26,0.09,0.4414,0.4516,45
0.018,1.05,6,0.26,0.11,0.4414,0.4516,45
0.018,1.05,6,0.26,0.12,0.4414,0.4516,45
0.018,1.05,6,0.26,0.14,0.4414,0.4516,45
0.018,1.1,6,0.26,0.09,0.4414,0.4516,40
0.018,1.1,6,0.26,0.11,0.4414,0.4516,40
0.018,1.1,6,0.26,0.12,0.4414,0.4516,40
0.018,1.1,6,0.26,0.14,0.4414,0.4516,40
0.018,1.15,6,0.26,0.09,0.4414,0.4516,39
0.018,1.15,6,0.26,0.11,0.4414,0.4516,39
0.018,1.15,6,0.26,0.12,0.4414,0.4516,39
0.018,1.15,6,0.26,0.14,0.4414,0.4516,39
0.022,1.15,8,0.26,0.09,0.4384,0.4409,24
0.022,1.15,8,0.26,0.11,0.4384,0.4409,24
0.022,1.15,8,0.26,0.12,0.4384,0.4409,24
0.022,1.15,8,0.26,0.14,0.4384,0.4409,24
0.022,1.15,8,0.35,0.11,0.4358,0.4301,25
0.022,1.15,8,0.35,0.12,0.4358,0.4301,25
0.022,1.15,8,0.35,0.14,0.4358,0.4301,25
0.018,1.05,6,0.28,0.09,0.433,0.4409,45
0.018,1.05,6,0.28,0.11,0.433,0.4409,45
0.018,1.05,6,0.28,0.12,0.433,0.4409,45
0.018,1.05,6,0.28,0.14,0.433,0.4409,45
0.018,1.1,6,0.28,0.09,0.433,0.4409,40
0.018,1.1,6,0.28,0.11,0.433,0.4409,40
0.018,1.1,6,0.28,0.12,0.433,0.4409,40
0.018,1.1,6,0.28,0.14,0.433,0.4409,40
0.018,1.15,6,0.28,0.09,0.433,0.4409,39
0.018,1.15,6,0.28,0.11,0.433,0.4409,39
0.018,1.15,6,0.28,0.12,0.433,0.4409,39
0.018,1.15,6,0.28,0.14,0.433,0.4409,39
0.022,1.15,8,0.35,0.09,0.4321,0.4301,25
0.022,1.15,8,0.28,0.09,0.4309,0.4301,24
0.022,1.15,8,0.28,0.11,0.4309,0.4301,24
0.022,1.15,8,0.28,0.12,0.4309,0.4301,24
0.022,1.15,8,0.28,0.14,0.4309,0.4301,24
0.022,1.15,8,0.3,0.09,0.4309,0.4301,24
0.022,1.15,8,0.3,0.11,0.4309,0.4301,24
0.022,1.15,8,0.3,0.12,0.4309,0.4301,24
0.022,1.15,8,0.3,0.14,0.4309,0.4301,24
0.022,1.15,8,0.32,0.09,0.4309,0.4301,24
0.022,1.15,8,0.32,0.11,0.4309,0.4301,24
0.022,1.15,8,0.32,0.12,0.4309,0.4301,24
0.022,1.15,8,0.32,0.14,0.4309,0.4301,24
0.018,1.0,6,0.26,0.14,0.4278,0.4516,49
0.022,1.15,6,0.26,0.09,0.4277,0.4409,31
0.022,1.15,6,0.26,0.11,0.4277,0.4409,31
0.022,1.15,6,0.26,0.12,0.4277,0.4409,31
0.022,1.15,6,0.26,0.14,0.4277,0.4409,31
0.025,1.15,8,0.35,0.11,0.4276,0.4194,21
0.025,1.15,8,0.35,0.12,0.4276,0.4194,21
0.025,1.15,8,0.35,0.14,0.4276,0.4194,21
0.022,1.1,8,0.35,0.11,0.4271,0.4301,27
0.022,1.1,8,0.35,0.12,0.4271,0.4301,27
0.022,1.1,8,0.35,0.14,0.4271,0.4301,27
0.022,1.15,10,0.26,0.09,0.4269,0.4086,17
0.022,1.15,10,0.26,0.11,0.4269,0.4086,17
0.022,1.15,10,0.26,0.12,0.4269,0.4086,17
0.022,1.15,10,0.26,0.14,0.4269,0.4086,17
0.025,1.15,8,0.26,0.09,0.4251,0.4194,20
0.025,1.15,8,0.26,0.11,0.4251,0.4194,20
0.025,1.15,8,0.26,0.12,0.4251,0.4194,20
0.025,1.15,8,0.26,0.14,0.4251,0.4194,20
0.025,1.15,8,0.28,0.09,0.4251,0.4194,20
0.025,1.15,8,0.28,0.11,0.4251,0.4194,20
0.025,1.15,8,0.28,0.12,0.4251,0.4194,20
0.025,1.15,8,0.28,0.14,0.4251,0.4194,20
0.025,1.15,8,0.3,0.09,0.4251,0.4194,20
0.025,1.15,8,0.3,0.11,0.4251,0.4194,20
0.025,1.15,8,0.3,0.12,0.4251,0.4194,20
0.025,1.15,8,0.3,0.14,0.4251,0.4194,20
0.025,1.15,8,0.32,0.09,0.4251,0.4194,20
0.025,1.15,8,0.32,0.11,0.4251,0.4194,20
0.025,1.15,8,0.32,0.12,0.4251,0.4194,20
0.025,1.15,8,0.32,0.14,0.4251,0.4194,20
0.022,1.15,6,0.35,0.11,0.425,0.4301,33
0.022,1.15,6,0.35,0.12,0.425,0.4301,33
0.022,1.15,6,0.35,0.14,0.425,0.4301,33
0.018,1.05,6,0.3,0.09,0.4244,0.4301,45
0.018,1.05,6,0.3,0.11,0.4244,0.4301,45
0.018,1.05,6,0.3,0.12,0.4244,0.4301,45
0.018,1.05,6,0.3,0.14,0.4244,0.4301,45
0.018,1.1,6,0.3,0.09,0.4244,0.4301,40
0.018,1.1,6,0.3,0.11,0.4244,0.4301,40
0.018,1.1,6,0.3,0.12,0.4244,0.4301,40
0.018,1.1,6,0.3,0.14,0.4244,0.4301,40
0.018,1.15,6,0.3,0.09,0.4244,0.4301,39
0.018,1.15,6,0.3,0.11,0.4244,0.4301,39
0.018,1.15,6,0.3,0.12,0.4244,0.4301,39
0.018,1.15,6,0.3,0.14,0.4244,0.4301,39
0.025,1.15,8,0.35,0.09,0.4242,0.4194,21
0.022,1.1,8,0.35,0.09,0.4237,0.4301,27
