file_id,frame,view,side,punch_type,left_wrist_dx,left_wrist_dy,right_wrist_dx,right_wrist_dy,left_elbow_dx,left_elbow_dy,right_elbow_dx,right_elbow_dy,left_shoulder_dx,left_shoulder_dy,right_shoulder_dx,right_shoulder_dy,nose_dx,nose_dy,left_hip_dx,left_hip_dy,right_hip_dx,right_hip_dy
1,30,front,lead,jab,0.0519,-0.0573,-0.7095,0.2329,0.1607,-0.067,-0.779,0.7503,0.4912,-0.0934,-0.4912,0.0934,-0.3953,-0.3263,0.4298,1.5553,-0.3333,1.5571
1,45,front,rear,cross,0.6649,0.1101,0.0492,-0.0756,0.8085,0.5583,-0.2659,-0.0948,0.4954,0.0675,-0.4954,-0.0675,0.2646,-0.2966,0.2489,1.2475,-0.4972,1.2015
1,77,front,lead,jab,-0.1186,0.0127,-0.8067,0.2165,-0.0557,0.1651,-0.8812,0.8021,0.4931,-0.0828,-0.4931,0.0828,-0.5125,-0.3229,0.5033,1.7159,-0.2504,1.7027
1,94,front,rear,cross,0.676,0.1665,0.349,-0.0859,0.7374,0.6304,-0.1027,-0.0268,0.4963,0.0605,-0.4963,-0.0605,0.3146,-0.2098,0.2204,1.3369,-0.5647,1.3091
1,131,front,lead,hook,-0.98,-0.0214,-0.903,0.2229,0.0913,-0.1683,-0.6758,0.7379,0.4782,-0.1461,-0.4782,0.1461,-0.5662,-0.3092,0.5486,1.6088,-0.1962,1.6099
1,146,front,rear,hook,0.4624,0.1424,0.4754,0.0016,0.5417,0.5681,-0.5144,0.0831,0.4947,0.0729,-0.4947,-0.0729,0.334,-0.2143,0.1169,1.2201,-0.6648,1.184
1,185,front,lead,hook,-1.4607,0.0802,-1.2324,0.3208,-0.2374,-0.131,-0.8305,0.9578,0.4502,-0.2175,-0.4502,0.2175,-0.9638,-0.3279,0.6217,1.9877,-0.2189,1.9971
1,199,front,rear,hook,0.5179,0.2083,0.7018,0.0368,0.5127,0.5836,-0.1149,0.0122,0.4918,0.09,-0.4918,-0.09,0.3381,-0.1914,0.0738,1.2645,-0.7163,1.2022
1,246,front,rear,uppercut,0.7974,0.0648,0.1724,-0.11,0.9277,0.5048,-0.1446,0.5689,0.4993,-0.0257,-0.4993,0.0257,0.4623,-0.2591,0.3207,1.4692,-0.5217,1.4257
1,263,front,lead,uppercut,-0.1428,-0.25,-0.8967,0.1233,0.2605,0.508,-0.9962,0.6223,0.4987,-0.0365,-0.4987,0.0365,-0.5551,-0.3155,0.1611,1.6767,-0.5232,1.6235
1,300,front,rear,uppercut,0.796,0.0652,0.1074,-0.1439,0.9385,0.5363,-0.1886,0.5305,0.4999,-0.0109,-0.4999,0.0109,0.3601,-0.2881,0.3361,1.5209,-0.524,1.4632
1,326,front,lead,uppercut,0.084,0.051,-0.6227,0.1214,0.5417,0.5035,-0.7963,0.4746,0.4998,0.0134,-0.4998,-0.0134,-0.2657,-0.2538,0.1804,1.1568,-0.4356,1.1121
1,355,front,lead,jab,-0.0202,-0.1377,-0.6869,0.1847,0.2812,0.17,-0.7813,0.6669,0.4967,-0.0569,-0.4967,0.0569,-0.4835,-0.2625,0.3451,1.4729,-0.3221,1.4443
1,373,front,rear,cross,0.6078,0.0818,0.0363,-0.1308,0.7648,0.5557,-0.3212,0.0037,0.494,0.0772,-0.494,-0.0772,0.3127,-0.226,0.2324,1.2917,-0.5499,1.2255
1,402,front,lead,jab,-0.0422,0.0086,-0.6559,0.2186,0.2762,0.2545,-0.7239,0.7207,0.4953,-0.0685,-0.4953,0.0685,-0.4112,-0.2337,0.3941,1.5455,-0.2938,1.5202
1,422,front,rear,cross,0.5741,0.1143,0.0433,-0.1245,0.7234,0.5822,-0.361,-0.0514,0.4946,0.0733,-0.4946,-0.0733,0.2544,-0.2053,0.2318,1.2837,-0.547,1.2141
1,456,front,lead,hook,-1.7617,0.1008,-1.0557,0.2708,-0.645,-0.1029,-0.9056,0.9334,0.4785,-0.1452,-0.4785,0.1452,-0.7431,-0.2218,0.526,1.9789,-0.2582,1.9782
1,472,front,rear,hook,0.6359,0.1606,0.6079,0.0051,0.6157,0.509,-0.1524,0.0072,0.4948,0.0716,-0.4948,-0.0716,0.3059,-0.2082,0.1948,1.1868,-0.5415,1.1369
1,508,front,lead,hook,-1.5567,0.1566,-0.8664,0.2965,-0.5636,-0.1413,-0.6881,0.8514,0.4565,-0.204,-0.4565,0.204,-0.7805,-0.202,0.5849,1.7005,-0.1307,1.7299
1,523,front,rear,hook,0.4263,0.078,0.2293,-0.0365,0.5836,0.4865,-0.5286,-0.0273,0.4952,0.0689,-0.4952,-0.0689,0.2441,-0.2227,0.1582,1.1556,-0.5669,1.0956
1,560,front,lead,uppercut,0.0695,-0.1215,-0.6828,0.1054,0.4992,0.4944,-0.8935,0.5721,0.4993,-0.0269,-0.4993,0.0269,-0.424,-0.2615,0.3427,1.4932,-0.3116,1.4591
1,576,front,rear,uppercut,0.55,0.076,0.0093,-0.1449,0.8044,0.537,-0.3026,0.4185,0.4999,-0.0092,-0.4999,0.0092,0.2667,-0.3148,0.4061,1.3079,-0.3641,1.2781
1,613,front,lead,uppercut,0.0822,-0.3468,-0.7261,0.0636,0.4414,0.3991,-0.9586,0.5674,0.4995,-0.0213,-0.4995,0.0213,-0.3592,-0.324,0.2744,1.5371,-0.3798,1.4925
1,630,front,rear,uppercut,0.5965,0.0305,-0.035,-0.2172,0.8321,0.5157,-0.3568,0.416,0.4998,0.0125,-0.4998,-0.0125,0.2436,-0.3222,0.3144,1.3532,-0.4544,1.3039
2,10,side,lead,jab,1.9552,-0.2004,0.2608,0.0273,1.167,-0.1218,-0.0578,0.407,0.4534,-0.0276,-0.4534,0.0276,0.3336,-0.2356,0.3756,0.9859,-0.2398,1.0141
2,24,side,rear,cross,0.4985,0.0056,2.195,-0.1148,0.1333,0.0742,1.3691,-0.0659,-0.3269,-0.0021,0.3269,0.0021,0.5157,-0.1678,-0.0716,0.9856,-0.0356,1.0144
2,59,side,lead,jab,2.0483,-0.2002,0.225,0.0521,1.2439,-0.0936,-0.0429,0.4073,0.4464,-0.0333,-0.4464,0.0333,0.3651,-0.2186,0.2857,0.986,-0.3237,1.014
2,81,side,rear,cross,0.6846,0.0351,2.039,-0.0996,0.2967,0.1105,1.2255,0.0309,-0.195,-0.0025,0.195,0.0025,0.5791,-0.149,0.0992,0.992,0.0098,1.008
2,118,side,lead,hook,1.4999,-0.0628,0.1081,0.0755,1.1127,-0.1064,-0.1968,0.4294,0.4959,-0.064,-0.4959,0.064,0.2599,-0.2172,0.4122,0.9641,-0.2158,1.0024
2,135,side,lead,hook,1.2608,0.0346,1.5561,-0.0076,0.479,0.0982,1.1118,0.0248,-0.3158,-0.0012,0.3158,0.0012,0.5236,-0.1687,-0.0441,0.9909,0.0951,1.0091
2,167,side,lead,hook,1.6441,-0.1256,0.101,0.0753,1.1175,-0.1636,-0.1939,0.4304,0.4936,-0.0795,-0.4936,0.0795,0.2474,-0.2318,0.4523,0.9332,-0.1913,0.983
2,186,side,lead,hook,1.2265,0.0274,1.5037,-0.0052,0.4579,0.0833,1.1203,0.0467,-0.3656,-0.0017,0.3656,0.0017,0.5162,-0.1609,-0.0914,0.9932,0.1018,1.0067
2,224,side,lead,uppercut,1.3318,-0.1066,0.2255,0.009,1.1173,0.2314,-0.1471,0.357,0.4718,0.0084,-0.4718,-0.0084,0.4041,-0.2389,0.3419,0.989,-0.2774,1.011
2,243,side,rear,uppercut,0.5398,-0.0809,1.4282,-0.1621,0.1014,0.1213,1.2904,0.2181,-0.337,-0.0497,0.337,0.0497,0.5824,-0.1948,-0.1497,0.9816,-0.0804,1.0184
2,282,side,rear,uppercut,0.5581,0.0574,1.4758,-0.1444,0.1271,0.1571,1.2754,0.222,-0.259,-0.0468,0.259,0.0468,0.6041,-0.1996,-0.0484,0.9875,-0.0782,1.0125
2,305,side,lead,uppercut,1.2666,-0.0224,0.2623,0.0257,1.0018,0.288,-0.1798,0.3835,0.4645,0.0068,-0.4645,-0.0068,0.428,-0.2428,0.3297,0.9882,-0.2911,1.0118
2,329,side,lead,jab,2.0969,-0.1678,0.1806,0.0635,1.2896,-0.0947,-0.1978,0.4256,0.4979,-0.0406,-0.4979,0.0406,0.346,-0.1998,0.3259,0.9827,-0.3019,1.0173
